The White Queen;2013;"""The White Queen"" es una fascinante historia de amor y deseo, traición y asesinatos, en donde se tejen vibrantemente las historias de tres mujeres diferentes pero igualmente perseverantes: Isabel Woodwille, Margarita Beaufort y Anna Neville. En la búsqueda por el poder, conspirarán, manipularán y seducirán en el camino para llegar al trono de Inglaterra.";https://www.starz.com/ar/es/series/The-White-Queen-18124
Power;2014;"El productor ejecutivo Curtis “50 Cent” Jackson presenta ""Power,"" un drama criminal sobre el dueño de un club nocturno quien también es el capo de un lucrativo imperio de drogas.";https://www.starz.com/ar/es/series/Power-21220
Castle Rock;2018;"""Castle Rock"" lleva a los espectadores al escalofriante mundo del exitoso y aclamado Stephen King en esta serie de terror psicológico.";https://www.starz.com/ar/es/series/Castle-Rock-45522
Dublin Murders;2019;“Dublin Murders” es una serie de misterio de ocho episodios con una trama que se adentra profundamente en el pasado de Irlanda, presagia su presente y brinda una percepción de su futuro.;https://www.starz.com/ar/es/series/Dublin-Murders-45426
Los Miserables;2019;"En el contexto épico de Francia en una época de disturbios civiles, ""Les Misérables"" es la historia de Jean Valjean, un ex convicto incapaz de escapar de la sombra de su vida pasada.";https://www.starz.com/ar/es/series/Los-Miserables-46038
Manhunt: Deadly Games;2020;Después de un mortal ataque terrorista en los Juegos Olímpicos de 1996, los agentes del FBI cazan a un escurridizo atacante en serie, mientras que un hombre inocente acusado injustamente, lucha por limpiar su nombre.;https://www.starz.com/ar/es/series/Manhunt:-Deadly-Games-59063
MotherFatherSon;2019;Max posee uno de los imperios mediáticos más influyentes del mundo. La información es su oficio: tiene secretos oscuros para todos y usa su poder despiadadamente, incluso en su propia familia.;https://www.starz.com/ar/es/series/MotherFatherSon-44758
Now Apocalypse;2019;“Now Apocalypse” se centra en Ulysses y sus amigos, en su búsqueda de amor, sexo y fama mientras intentan navegar la ciudad de Los Ángeles. Los sueños de Ulysses le hacen preguntarse si no existe una especie de conspiración oscura.;https://www.starz.com/ar/es/series/Now-Apocalypse-43571
Penny Dreadful;2014;Penny Dreadful es un thriller psicológico lleno de un oscuro misterio y de suspenso, donde los demonios personales del pasado pueden ser más fuertes que los vampiros, los espíritus malignos y las bestias inmortales.;https://www.starz.com/ar/es/series/Penny-Dreadful-61184
The Great;2020;The Great es un drama cómico y satírico, ocasionalmente basado en hechos históricos, sobre cómo Catalina la Grande pasó de ser una forastera a la gobernante mujer con el reinado más largo de la historia de Rusia. Una historia muy moderna sobre el pasado.;https://www.starz.com/ar/es/series/The-Great-57979
The Name of the Rose;2019;En 1327, un brillante monje franciscano ingés, Guillermo de Baskerville, es enviado por el Santo Imperio Romano a un monasterio aislado al norte de Italia para un dramático y decisivo encuentro.;https://www.starz.com/ar/es/series/The-Name-of-the-Rose-45429
Instinto Animal;2016;"Este drama sobre una familia criminal sigue a un adolescente quien, luego de la muerte de su madre, se muda con sus parientes independientes a un balneario del sur de California.
Atraído por la vida de excesos que llevan, pronto descubre que esta está financiada por actividades criminales y que unirse a la familia viene con más peligro de lo que podría estar listo para manejar.";https://www.starz.com/ar/es/series/Instinto-Animal-56898
Confronting a Serial Killer;2021;La asombrosa historia de la relación sin precedentes entre la aclamada autora y periodista Jillian Lauren y el asesino en serie más prolífico de la historia de Estados Unidos, Sam Little.;https://www.starz.com/ar/es/series/Confronting-a-Serial-Killer-59920
Little Birds;2021;Una Adaptación de la infame conlección de cuentos eróticos de Anais Nin.;https://www.starz.com/ar/es/series/Little-Birds-62168
Sr. Mercedes;2017;Un asesino serial demente se burla de un policía retirado con una serie de cartas y correos electrónicos espeluznantes.;https://www.starz.com/ar/es/series/Sr.-Mercedes-45919
Power Book III: Raising Kanan;2021;"Situada al Sur de Jamaica, en Queens, en 1991, ""Raising Kanan"" es una precuela de la franquicia original ""Power"". Este drama familiar trata del cambio de edad de Kanan Stark, un distribuidor de cocaína con una red de vendedores en la Ciudad de Nueva York.";https://www.starz.com/ar/es/series/Power-Book-III:-Raising-Kanan-58458
Sweetbitter;2018;Tess empieza a trabajar en uno de los restaurantes más elegantes de Nueva York, pensando en que sería un trabajo temporal, pero pronto se vio imbuida en al ambiente de sus colegas, la vida nocturna, y el ritmo rápido del estilo de vida de la ciudad.;https://www.starz.com/ar/es/series/Sweetbitter-37699
